PERIODO,TIPO_DE_VEGETACION,TASA_ANUAL_DE_CAMBIO_(PORCENTAJE)
1976-1993,Selvas,-0.57
1993-2002,Selvas,-0.44
2002-2007,Selvas,-0.51
2007-2011,Selvas,-0.26
2011-2014,Selvas,-0.35
1976-2014,Selvas,-0.48
1976-1993,Bosques,-0.09
1993-2002,Bosques,-0.12
2002-2007,Bosques,-0.01
2007-2011,Bosques,0.10
2011-2014,Bosques,-0.03
1976-2014,Bosques,-0.06
1976-1993,Matorrales,-0.26
1993-2002,Matorrales,-0.17
2002-2007,Matorrales,-0.13
2007-2011,Matorrales,-0.21
2011-2014,Matorrales,-0.05
1976-2014,Matorrales,-0.20
1976-1993,Pastizales,ND
1993-2002,Pastizales,-0.12163631
2002-2007,Pastizales,-0.826661738
2007-2011,Pastizales,-0.730256062
2011-2014,Pastizales,-0.049829698
1976-2014,Pastizales,ND
