AÑO,TIPO_DE_RESERVA,VOLUMEN_DE_CRUDO_(MILLONES_DE_BARRILES_DE_PETROLEO_CRUDO_EQUIVALENTE),VOLUMEN_DE_LIQUIDOS_DE_GAS_(MILLONES_DE_BARRILES_DE_PETROLEO_CRUDO_EQUIVALENTE),VOLUMEN_DE_GAS_(MILLONES_DE_BARRILES_DE_PETROLEO_CRUDO_EQUIVALENTE),VOLUMEN_DE_HIDROCARBUROS_TOTALES_(MILLONES_DE_BARRILES_DE_PETROLEO_CRUDO_EQUIVALENTE)
2003,Probadas,15123.55966,2072.4,2881.3,20077.28194
2003,Probables,12531.12167,1191.9,3241.9,16964.96257
2003,Posibles,8611.2288,1119.5,3259.2,12990.0051
2004,Probadas,14119.6,1920.2,2855.4,18895.2
2004,Probables,11814.1,1117.3,3073.7,16005.1
2004,Posibles,8455.2,1191.6,3493.9,13140.7
2005,Probadas,12882.2,1920.5,2847.1,17649.8
2005,Probables,11621.2,1149.1,3065.8,15836.1
2005,Posibles,8808.9,1178.3,3441.1,13428.2
2006,Probadas,11813.8,1856.7,2799,16469.6
2006,Probables,11644.1,1213.1,2931.4,15788.5
2006,Posibles,9635,1272.6,3251.8,14159.4
2007,Probadas,11047.6,1801.8,2664.8,15514.2
2007,Probables,11033.9,1230,2993.6,15257.4
2007,Posibles,9827.3,1326.9,3450.4,14604.7
2008,Probadas,10501.2,1685.3,2530.7,14717.2
2008,Probables,10819.4,1354,2971,15144.4
2008,Posibles,9891.1,1414.4,3315.8,14621.2
2009,Probadas,10404.2,1461.3,2442.3,14307.7
2009,Probables,10375.8,1256.2,2884.9,14516.9
2009,Posibles,10149.8,1335.5,3252.6,14737.9
2010,Probadas,10419.6,1271.7,2300.8,13992.1
2010,Probables,10020.5,1281.8,2934.3,14236.6
2010,Posibles,10057.2,1426.9,3361.9,14846
2011,Probadas,10161,1232.7,2402.3,13796
2011,Probables,10736.4,1296.9,2979.8,15013.1
2011,Posibles,9662.4,1337.7,3264.4,14264.5
2012,Probadas,10025.2,1336.8,2448.3,13810.3
2012,Probables,8548.1,1248.5,2556.1,12352.7
2012,Posibles,12039.3,1735.6,3899.5,17674.3
2013,Probadas,10073.2,1350.7,2444.4,13868.3
2013,Probables,8456.9,1200.7,2648.3,12305.9
2013,Posibles,12286.5,1787,4282.3,18355.8
2014,Probadas,9812.1,1079.6,2359.7,13251.4
2014,Probables,7800.3,986.7,2527.3,11314.3
2014,Posibles,11715.4,1508.6,4073.2,17297.2
2015,Probadas,9711,949.6,2201,12861.6
2015,Probables,6764.5,781.6,2376.2,9922.3
2015,Posibles,9349.7,1183.5,3827.6,14360.8
2016,Probadas,7141.6,718,1655.4,9515
2016,Probables,4801.3,449.6,1169.6,6420.5
2016,Posibles,4425.7,503.2,1179.1,6108
2017,Probadas,6537.3,589.2,1342.9,8469.4
2017,Probables,4980.6,432.3,1108.8,6521.7
2017,Posibles,5363.7,452.1,1169.6,6985.4
2018,Probadas,5806.5,553.8,1267.7,7628
2018,Probables,4852.9,448.5,1196.5,6497.9
2018,Posibles,5078.6,492.7,1272.8,6844.1
